filename,width,height,class,xmin,ymin,xmax,ymax
32-738940-_96-792238_png.rf.f01e61a6d707da5c68ffa7d9288224c0.jpg,416,416,ZebraStyle,169,332,211,402
32-738940-_96-792238_png.rf.f01e61a6d707da5c68ffa7d9288224c0.jpg,416,416,ZebraStyle,197,153,251,193
32-738940-_96-792238_png.rf.f01e61a6d707da5c68ffa7d9288224c0.jpg,416,416,ZebraStyle,151,161,195,235
32-880230-_96-823467_png.rf.eef93c57ba2dcccb329855b7939be62f.jpg,416,416,ZebraStyle,241,169,269,215
32-880230-_96-823467_png.rf.eef93c57ba2dcccb329855b7939be62f.jpg,416,416,ZebraStyle,212,206,250,263
32-871688-_96-764823_png.rf.f112d6d1f677c25ce8d9d3be60aade64.jpg,416,416,ZebraStyle,195,292,256,344
32-871688-_96-764823_png.rf.f112d6d1f677c25ce8d9d3be60aade64.jpg,416,416,ZebraStyle,286,130,326,217
32-871688-_96-764823_png.rf.f112d6d1f677c25ce8d9d3be60aade64.jpg,416,416,ZebraStyle,177,63,250,120
32-871688-_96-764823_png.rf.f112d6d1f677c25ce8d9d3be60aade64.jpg,416,416,ZebraStyle,138,173,179,273
32-735072-_96-857018_png.rf.f119d25258add8924c6c1b29f9ad98b0.jpg,416,416,ParallelStyle,235,242,293,323
32-735072-_96-857018_png.rf.f119d25258add8924c6c1b29f9ad98b0.jpg,416,416,ParallelStyle,382,248,414,321
32-748864-_96-813144_png.rf.f26dbeb5723b9e0c31e1562f3dd66c92.jpg,416,416,ZebraStyle,373,1,395,129
32-690317-_96-832045_png.rf.f031398301d178dc67146237ae3d593d.jpg,416,416,ParallelStyle,125,210,191,255
32-690317-_96-832045_png.rf.f031398301d178dc67146237ae3d593d.jpg,416,416,ParallelStyle,188,244,271,290
32-774447-_96-808351_png.rf.f3948f8e5ca4aa5b52e0e04063c36ae6.jpg,416,416,BrickStyle,165,229,238,277
32-774447-_96-808351_png.rf.f3948f8e5ca4aa5b52e0e04063c36ae6.jpg,416,416,BrickStyle,227,182,287,269
32-774447-_96-808351_png.rf.f3948f8e5ca4aa5b52e0e04063c36ae6.jpg,416,416,BrickStyle,130,154,191,244
32-878991-_96-707456_png.rf.f1bc4c36fd68c262c0f253757812a785.jpg,416,416,ZebraStyle,174,134,194,254
32-878991-_96-707456_png.rf.f1bc4c36fd68c262c0f253757812a785.jpg,416,416,ZebraStyle,240,136,258,254
32-882439-_96-838477_png.rf.f03a63b94ed5dd4e3d031cedbfab4519.jpg,416,416,ZebraStyle,257,168,279,206
32-764414-_96-748525_png.rf.f33aa1f5f518672679aedb1ea5292d81.jpg,416,416,ZebraStyle,219,136,261,180
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,196,233,217,313
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,204,333,222,411
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,128,389,206,411
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,61,373,136,397
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,61,191,177,211
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,36,210,54,298
32-632835-_96-943322_png.rf.f2eda494dab19e62b01466a58496aed1.jpg,416,416,ParallelStyle,45,296,65,379
32-787048-_96-853385_png.rf.f4c5e5faa0fb467c77e2939a7f2cb2d2.jpg,416,416,ZebraStyle,220,156,246,208
32-787048-_96-853385_png.rf.f4c5e5faa0fb467c77e2939a7f2cb2d2.jpg,416,416,ZebraStyle,162,211,225,234
32-778027-_96-804676_png.rf.ef1092e8e6aeb94df41d12f9e9bfc216.jpg,416,416,ParallelStyle,239,223,295,251
32-778027-_96-804676_png.rf.ef1092e8e6aeb94df41d12f9e9bfc216.jpg,416,416,ParallelStyle,177,249,208,298
32-778027-_96-804676_png.rf.ef1092e8e6aeb94df41d12f9e9bfc216.jpg,416,416,ParallelStyle,188,310,272,339
32-679556-_96-814645_png.rf.f4cf3c6427cb5684bd007b30c0e9eed2.jpg,416,416,ZebraStyle,180,237,250,260
32-722331-_96-700196_png.rf.f07e2eb23b1c495dc4943e12d8eb0642.jpg,416,416,ZebraStyle,118,164,136,223
32-722331-_96-700196_png.rf.f07e2eb23b1c495dc4943e12d8eb0642.jpg,416,416,ZebraStyle,137,227,267,248
32-777653-_96-802411_png.rf.f1d5522c0c9eff429c094d7bf50a8839.jpg,416,416,ParallelStyle,113,113,163,257
32-777653-_96-802411_png.rf.f1d5522c0c9eff429c094d7bf50a8839.jpg,416,416,ParallelStyle,129,260,217,304
32-777653-_96-802411_png.rf.f1d5522c0c9eff429c094d7bf50a8839.jpg,416,416,ParallelStyle,218,145,301,290
